Gene	GSM1337304	GSM1337305	GSM1337306	GSM1337307	GSM1337308	GSM1337309	GSM1337310	GSM1337311	GSM1337312	GSM1337313	GSM1337327	GSM1337328	GSM1337329	GSM1337330	GSM1337331	GSM1337332	GSM1337333	GSM1337334	GSM1337335	GSM1337336
BAD	238.8	262.2	266.3	110	181.7	243.3	235.6	217.4	266.5	270.1	282.8	195.2	235.8	268.3	310.4	210.4	363.6	270.6	275.4	200.9
PRPF8	1267.8	1064.2	1456.3	1147.9	1284.5	1411.3	1584.8	1722.3	1611.9	1391.2	1362.1	1465.8	1704.1	1224.5	1574.2	1504.7	932.1	1231.4	1558	1659.6
CAPNS1	4970	6995.7	4324.8	4047.5	4600.8	6678.2	6835.1	7659	6351.1	6565.7	5675.5	5972.3	7449.5	5445.3	5731.8	6806.1	6660.3	5488.2	5372.4	7093.5
RPL35	10449.6	10370.8	16033	8213.1	7860.2	12057.2	8698.5	7631.9	6965.8	8513.5	6511.1	7242.4	9776.3	12462.9	9940.8	8625.7	13031.2	7826	7681.8	7565.2
EIF4G2	7032.6	6218.6	5746.9	7330	7838.3	5478.1	5945.6	5847.9	6214.5	5980.9	5069.5	5112.3	4923.4	5463.9	4961.5	5464.4	4376.3	5915.5	5763.9	5589.9
EIF3D	3340.4	3839.4	4112	3830.7	2734.4	4483.4	4356.1	3750	3534.4	3768.5	3162.2	3805.3	4882.1	5126.1	4565.8	4034.9	3955.9	3317.6	3507.8	3767.8
PARK7	6400.4	6026.3	8971.9	6420.6	6290.4	6168.7	5439.7	5063.2	5184.5	5050.3	7357.6	6727.8	6179.5	9351.1	7649.5	7026.3	11645.7	6203.5	6444.4	5761.4
SRP14	6779.2	7655.7	8567	5943.6	6025.7	6514	7187.4	4804	4597.3	6208.1	5177.6	5230.6	5803.2	7292.8	6097.7	4905.8	7654.6	5371.1	5321.8	5191.9
GDI2	2204	2056.2	2226.8	2307.4	2050.2	2839	2392.5	2005.2	1738.8	2761.6	2387.4	2044.4	3458.5	2908.5	2388.3	3351.4	2514.5	2389.4	2901.6	2247.4
RPL11	10239.3	11602.4	14209.6	10781.3	8177.7	11100.4	9691.9	9819.2	9300.1	10375.9	8137.4	7954.7	7976	10922.6	8920.6	6442.2	10965.1	7744.6	8577	9765.7
ARF3	2159.1	2432.4	1913.3	1880	1812.2	2160.5	2900.1	2192.6	2104.8	1938	2466.2	2896.4	3400.8	1869.6	2247.4	2979.3	1972.7	3040.2	2522.9	2667.1
RPL24	9916.2	9617.5	15187.2	10370.7	9158.4	10114.4	8591.4	8476.9	7200.5	6725.8	6416.6	8535	10246.7	12206.4	10679.7	7705.1	14053.6	8152.5	7505.4	9081.9
HNRNPC	1996.2	1771.2	2420.8	2681.3	2592.6	1109.8	1182.6	1134.8	1128.2	1128.9	1356.3	1463.4	1114.2	2094.7	1234.2	1436.8	2223.7	1415	1519.4	1118
SEPT2	4432.2	5387.6	4961.9	3200	4132.4	3685.8	4628.8	3222	3258.7	3372.3	4701.9	5111	5063	3974.9	6142.3	4670.2	4101.5	4919.3	5653.2	3404.1
RPS27A	10059.1	12562.5	16853.4	10368	10856.8	8167	6407.7	5862.4	6460.2	5588.3	6850.9	7918.1	9152	11132.2	8770	8055.8	13067	8628.3	8082.3	7280.1
FAU	8375.1	12837.9	13781.1	10161.1	8981.8	11587.7	9138.5	10235	9162.4	10494.2	8871.6	9498.2	10545.7	15273.6	12779.5	9054	15279.3	10266	8487.8	10234.7
TARDBP	2090.4	1892.1	1614.3	2148.7	1548.5	2349	1897	1645.8	1628.3	1933.6	1594.4	2049.4	1552.1	1593.8	1815.1	2150.9	1301	1744.1	2066.4	1819.1
CFL1	15706.8	18955.1	10258.3	15721	14303.2	11088.1	15731	13641.2	14325.3	16116	9967.1	10914.5	9678.8	9378.3	8094	11823.6	12739.3	12056.2	9805.4	15910.5
RPL18	6634.6	9126	13190.5	8770.5	7432.8	8785.8	8578.6	6877.5	6227.6	7537.2	7670.9	7212.5	8955.9	13080.3	10750.9	6870.1	10625.7	9552	7737.4	7892
EIF3F	4687.1	4295.2	6397	2817.6	3249.7	4349.1	4404.5	3957.3	3803.7	3863.9	3522.1	3915	3916.3	5666.5	4961.3	3396.8	5535.8	3025.3	3951.6	3908.8
RPS5	9385.3	9132.5	13791.2	9031.4	7920.2	10349.3	5866.3	8554.9	7723.2	13636.8	4350.6	5825.8	7590	10175.6	8031.8	7079.2	10944.3	5696.9	5702.8	8832
RPL27	13875.9	12892.4	17840.4	11446.3	10363.3	15093	12938.7	10754.9	11335.7	12766.1	8446.9	9494.4	11230.5	12057.9	10041.5	10035.7	14135.5	9005.5	8585.3	10903.9
RPL34	17936.2	19621.4	23026.3	15477.3	12419.7	20883.5	16979.9	17277.8	17007.2	18389.3	11035.3	12212.9	12958.4	15405.7	11980	10818.4	16336.2	10673.8	8788.1	17672.2
NARS	3280.3	2899.4	3095.3	3383.1	4158.6	3571	3501.1	2414.9	2564.9	2643.1	3932.6	3638.3	2724.3	3133.8	3166.9	3399.9	2769.5	3670.7	3250.8	3111.4
STARD7	2492	3055.9	2597.6	3533.1	3085.2	4166.9	3572.8	2838.6	2502.6	2725.3	2859.5	3387.5	3342	3290.6	3087.9	3937.3	2809.1	1631.6	2839.6	3742.9
RPL19	15313.8	14196.3	16245.3	12750.1	10689.4	15201.5	16041.4	13242.2	13114.1	15174.5	8692.3	10469.6	12074.5	14191.5	11099.6	10291.5	13658	9853.8	9166	12647.9
SLC25A3	6738.1	7579.8	8139.8	7774.8	6280.7	9641.7	9299.2	8569.4	8769.3	9877.6	6131.7	7216.3	8449.9	7777	7261.1	8039.2	8661.3	6729.5	6465.3	9341.9
RPL9	17770	20681.8	23856.4	16476.6	14795.2	18053	14961.5	14441.3	14332.2	14877.9	10153.8	10835.2	11759.5	14688	10837.4	10650.6	14750.4	9966.5	8881.5	14626.7
RPL6	9763.6	8983.5	11435.3	7907.8	7487.3	7767.6	7371.3	6895.5	6695.3	7571.7	5198.5	5703.8	6707.1	9315.9	7079.2	5842.5	9292.4	6490.1	5994.6	6604.6
CTDNEP1	1498.2	1093.7	1099.6	1191	991.4	1789.2	1789.2	2146.7	1974	2002.9	1165.2	1766.1	1374.5	977.4	1032.6	1752.9	826.6	1230.2	1112	2117
RPL10A	11254.4	10670.4	13694.1	8634.1	7315.6	10456.2	6619.3	7913	7066.1	9271.1	8126.3	8236	10795.7	13234.5	10803.7	8736.5	11294.9	8290.9	8290.4	8175.5
CBX3	2869.7	2473.9	2691.5	2735.1	3125	2440.6	1720.1	1566.5	1985.4	1922	1745.2	2065.2	1661	1942.6	1705.2	1786.3	2643.6	2054.6	1922.6	1933.1
PSMB2	2177.6	1931.4	2303.4	2129.7	2400.1	1994	2429.7	2147.8	2183.2	2419.1	2257.2	2777.1	2569.9	2668.4	2407.6	2950.8	3214.4	2112.2	2369.1	2218.2
KHDRBS1	2608.4	2517.8	2945.7	1507.9	2034.7	2408	2928.9	2345.8	2167.3	2602.7	2646.1	3040.4	2661.5	2269.6	2394.9	2856.7	1971.5	2629.3	2908	2622.6
RTCB	1178.9	1255.4	1196	1079.7	1171.6	1402.1	1060.6	1092.3	973.3	1062.6	1456.6	1299.7	1883.4	1799.1	2031.8	1845.4	1837.3	1567.4	1986.9	1127.6
ERH	4346.2	3979.6	5060.8	5237.9	5839.1	3321.6	3644.4	2967.7	2678.2	3064.7	3517.3	3780.9	3740.4	3988.5	3601.2	4325.3	6661.5	4561.2	3846.9	3400.8
ABCF1	1373.6	1394.6	1034.8	2457.9	1709.4	1792.3	1105	1197.9	1316.7	1467.3	1846.2	1538	1185.9	1169.1	1465	1376	850	1326.2	1382.1	1096.5
DAD1	3311.1	3422.2	3877.5	2353.3	2887.7	3284.9	3266.7	3124	2819.8	3153.2	2738.3	3654.4	3680	4482.5	4107.8	4514.7	6290.5	3818.9	3937.3	3431.3
YY1	2012.3	1659.1	1799	2079.2	2373.4	1609	919.2	830.9	947	887.7	1392	1381.5	1086.8	1365.1	1481.7	1043.7	1611.7	1586.2	1430.5	930.1
JTB	3411.8	3131.3	3170.2	2298.8	3238.7	3048.5	2600.4	2285.1	2317.4	2302.4	3319.4	3872.7	2747.8	5290.5	4022.3	3756.5	6666.8	3468	3735.9	2384.9
KAT7	499.8	635.7	499.2	419.2	453.6	488.4	514.6	535.8	498.9	468.3	732	721.2	632.9	497.9	614.6	488.2	418.9	692.1	719.9	588.2
ZNF146	1036.8	1288.8	794.3	1182.6	1379.4	622.8	541.6	732.9	975	523.6	792.5	955.9	542.4	592.1	1049.1	684.8	583.2	754.3	832.5	548.7
SART1	373.7	420	504.9	459.1	396.9	599.9	552.9	468.2	497.7	459.8	498.2	481.6	605.7	515.7	473.7	591.2	368.8	426	387.4	416.6
ILF2	1053	873.5	930	1896.7	1631.8	839.3	513.7	694.2	592.9	888.1	1197.1	1073.4	1056.6	1590.8	1218.4	1475.9	1506.8	1410.8	1576.1	683.3
SPAG7	1073	1309.9	1139.4	967.1	810.8	1508.7	1543.7	1160.5	1276.3	1145.6	1215.2	1601.8	1592.1	2015.1	1542.1	1380.8	2103.8	1734.1	1076.1	1167
ZPR1	477.8	389.2	421.4	1369.9	1025.4	635.8	312	327.3	310.6	497.7	475.6	411.3	366.9	737.1	501.4	505.4	493.5	480.2	351.3	287.9
TAF10	2560.3	2043.6	2380	2408.8	1774.5	2590.8	2800.5	2007.5	1790.6	2225.1	2714.1	2727.2	3032.9	4058.1	2892	3286	4109.7	2808	2763.1	2570
C1D	359.1	427.2	548.4	476.9	634.1	289.4	156.7	231.8	167.3	174.9	403.6	420.1	308.1	669.6	533	366.5	991.6	535.4	399.1	283.3
NONO	5047.6	5506	5168.1	4703.8	4308.1	6223.5	5021.7	6130.3	5913.2	5873.5	4886.2	5124.3	4990	5163.6	5233.3	4353	4158.7	4453.4	4624.8	5615.7
RHOA	8112.4	9017.9	8917	9066.3	8221.8	7218.3	7339.3	8187.6	8425.9	8040.5	5315.7	7060	7467.7	7809.5	5494.1	7232.6	9563.4	7457.4	5539.4	9102.1
RNPS1	1858.6	1634	1671.2	2806.3	2436.6	1520.6	1279.4	1349.1	1292.7	1153.5	1432.5	1582.4	1528.9	1400.4	1606.5	1660.5	1562	1830	1705.2	1194.5
RPS24	15184.2	15691.8	18550.2	12933.7	11097.3	17029.8	17824.2	14619.2	15366.9	17746.5	9616.8	11711.3	13790	13717.1	10703.9	11319.7	13890.7	9820.6	9786.3	15698.3
RPL30	17125.7	21845.1	24621.2	16266.5	14468.1	21085.4	16979.5	17252.6	16474.3	18229.9	10995.3	12879.6	15265.1	17587.2	14333.8	13023	18569.4	12767.1	10880.7	16859.3
NPM1	8725.6	6675.6	10413.1	10542.8	9688.6	7880.2	5780	6110.9	6407.1	5491.6	4181.8	4146.2	5413.3	7035.1	5071.3	5085.8	6738.4	5360	5127.7	6386
HSP90AB1	6581.2	4766.9	8901	14242.9	10575.5	9804.4	8073.1	7441.9	7986.7	7895.3	6980	7404	8635.1	7080.9	7873	6863.1	7069.6	6530.8	7543.9	7169.9
IK	925.6	1483.1	1258.2	837.8	954.2	1382.1	1228.3	1123.6	1019.7	951.5	1039.5	895.8	1279.2	1243.8	1528.8	798.7	1148.9	1114	1185.1	1175.6
SNX3	3309.4	3044.9	4081.4	2132.9	3727.1	3715.7	2074.8	2947.5	2504.1	2910.7	3978.5	3765.1	3414.1	4852	4864.4	3476.6	5155.7	4119.6	3973.6	3236.2
CANX	6235.3	6396	7533.9	6532.1	7001.1	8975.4	7986.8	7098.9	7149	5818	6307.4	7038	8419.3	5185.2	5442.4	7881	4744.5	6779.5	6909.2	8368.7
SART3	417.6	286.3	378.1	616.2	560.3	440.7	305	292.1	310.1	393.3	394.8	588.3	339.1	359.9	548.5	331.2	262.4	384.7	401.7	378.3
CNPPD1	243.9	646	514	378.9	424.5	708.5	612.9	552.3	741.4	529.7	371.1	603	599.8	497.1	418.8	679.2	961.3	492.7	325.1	615.3
SMNDC1	1037.8	877.3	1098.6	1396.8	1419.2	954.4	620.2	598	596.1	577.8	771.4	820.8	554.9	825.7	967.8	659.2	754.1	831	926.8	690.5
HNRNPM	2024.4	2412.6	1564.6	3302.8	2571.1	1884.4	1678.2	1959.5	1798.6	1897.9	1805.5	2245.4	2059.7	1717.3	1881.9	2498	1427	1983	2087.5	1887.4
HNRNPD	2623.3	2460.4	2065.4	2991.7	3018.3	839.9	1067.1	1007	925.2	1008.1	1244.6	1112.2	1230.4	1766.6	1428.7	1378.8	1409.3	1236	1318	1065.7
RPL14	4550.8	5525.3	8039.9	5502.5	3688.2	6805.8	5663	5402.4	4695.3	5419.9	4040.1	6070.1	6946.7	7562.9	7236.1	5338.2	8808	4629.2	5199.4	4996.8
GUK1	2701.1	2563.7	2295.6	1236.9	1933.8	2410.4	2920.1	1599.7	2022.3	1644.5	2099.9	2564.6	3161	3330.3	2681.8	2934.7	5580	2130.1	2163.8	1453.3
KXD1	728	1187.2	767.4	843	705.9	1065.1	1380.7	1024.4	995.7	1252.6	1177.8	1114.7	1584.6	1560	1342.8	1548.8	1383.8	1193.8	1254.2	1083.6
OAZ1	9823.6	11727.7	10311.2	9668	8998.9	11277.5	10197.9	9835.7	10418.4	9590.2	6896.3	7968.7	8498.2	9714.8	7179	8716.1	11595.7	8505.9	6734.3	11323.4
ATP6V0B	1718.3	2220.4	1343.3	2769.5	1999.8	1880	1746.5	1815.5	1590.6	2199.6	2355.2	2471.6	2174	3396.3	1874.9	3381.8	4155.1	2726.9	2034.1	2667.6
KARS	2333.2	2309.7	2522.3	3915.6	3570.7	3080.4	2940.6	2505.3	2193.4	2487.9	2574.9	2850.4	3528.7	3369.2	3602.1	3473.1	2760.9	2742.8	2778.7	2606.5
RPS6	14608.7	15943.8	18223	12741	10837.4	14886	12102.7	12844.7	12282.3	14489.6	8144.5	9394.4	12933.9	14860.8	10799.6	10822.2	14578.9	9637.9	9416	11698.7
RPS7	10613.1	9174.1	12623.8	9791	7903.2	10451	9344.1	8029.1	5932.6	9205	5079.8	6401.9	7406.4	10463.1	7575.3	6751.5	10795.1	5447.6	6357.3	6658.7
USP22	1622.4	1682.9	1458.7	1211.1	1413.1	989.1	1837.1	1614.2	1580.9	1668.4	1642.6	1500.3	1774	1232	1431.3	1586.7	1005.9	2074	1791.7	1637.7
C11orf58	3094	3142.2	4319.7	2828.9	3355.2	3394.1	2809.6	2852.6	2737.1	2504.9	2918	2897.6	3340.7	3896.2	3591.7	3398.1	4283	3661.9	3595.6	2578.1
TCEB2	1849.6	2778.3	2423.1	1433.1	1780.7	2390.8	2227.5	2019.8	1880.4	1911.1	1749.9	2395.9	2575.7	4446.2	3147.6	2895.8	5351.1	2262.3	2079.6	2092.8
COX4I1	3427	3431.9	4718.7	2175.4	2396.4	3797.6	4035.9	3434.8	3141.5	2430.7	2583.8	3106.2	3942.2	5408.6	3647	3661.1	5752.5	2881.6	2814.2	3206.7
TMED2	4238.3	4352.7	4817.8	4373.2	5005.3	3153.6	3606.6	2206.9	2533.9	2274.1	3774.7	3062	3476.6	4202	3251.2	3964.4	4844.4	3998.1	3731.1	2526
FNTA	2668.3	2411.1	3684.4	2556.7	2768.8	2668.1	2737.2	2374.7	2447.6	2033.3	2166	2796	2697.6	3598.9	3548.4	2773.9	4017.2	2613	2464.5	2490
RPS25	6929.5	7560.5	9067.2	5230.3	6114.6	4031.4	3323.5	3844	3799.8	3586	3684.8	3672.3	3775.9	6777.2	4229.1	3943.8	7066.9	4230.5	4040.9	3757.8
RPL37	11514.4	12883.3	15573.9	8661.1	9348.4	8788.6	8293.5	6999	7258.9	6996.9	6304.9	6833	9062.7	11117.7	8332	7144.4	12838.1	6869.3	7777	7579.2
HINT1	2216.3	2209.4	2457.3	1565.5	1722.5	1724.1	1265.5	1294.3	972.6	1482.1	1414.2	1556.7	1506.8	2811.2	2470.8	1436.7	4026.2	1798.8	1526.3	1744.6
EEF2	9247	8148.9	13074	7415.6	6596.7	10113.4	11731.3	8846.7	8911.1	7834.1	6272.7	5867	7642.2	8012.8	6589.7	5849.7	5825.2	5508.6	6251.2	8051.2
RPS10	21816.3	21874.8	29821.8	18096.1	17221.5	27831.9	22867.6	18199.6	17223.4	19157.6	13771.8	17160	20973.2	21275.2	15038.8	16760.4	21168.8	15664.9	14625.3	18235.3
ATP6V0E1	3186.4	3611.8	3585.6	3559.2	3567.4	3099.9	2918.9	2702.6	2875.2	3029.9	3574.1	3329.5	3269.6	5137.2	3466.3	3708.3	6888.2	3770.1	3591.7	3617.9
HNRNPK	3780.6	3754.3	4213.4	4714.4	5205.1	3236.8	2584.6	2593.8	2539.8	2292.9	2200.3	2353.4	2404.5	2164.9	2349.5	2307.2	2665.1	2659.8	2538	2600.5
ANAPC5	2203.6	1683.3	1701	1801.2	1784.8	1861.6	1652.1	1891.2	2197.1	1473.4	1371.3	1769.9	1969.7	1757.5	1402.1	2202.3	2019.2	1600.5	1490.3	1885.8
HNRNPU	1409.7	969.9	1267.1	2077.7	2186.4	1269.6	1096.3	1339.3	1401.6	1220.8	725.3	794.6	1029.7	661.5	747.2	958.7	702.5	725.5	832.7	1112.1
EIF3A	1818.8	1418.2	1898.4	2698.2	2516.5	1176.9	694.9	675.2	630.2	850.3	993.7	1004.3	833.9	825.2	1069.4	1013.7	693.7	1493.9	1234.1	700.2
MSN	4825.1	4985.3	3772.7	7260.6	5805.7	3155.7	4596.5	4393.7	4250	4390.8	5477.8	5061.7	4561.1	3615.5	3249.6	5339.9	3338.3	6066.9	4495.7	4700.6
ACTN4	2091	2497.4	1108.6	2291.6	1229	2066.5	3324.3	2424.5	2560.4	1741.4	2175.7	1469.4	1912.3	1213.6	2257.3	1509.7	1496.2	1474.8	2286.6	1693.9
APP	2144.9	1828.4	1826.1	1507.6	2044.7	1451.1	1757.4	2068.5	1698.3	1162.6	1874.6	1833.5	1860.7	1099.9	1119.7	1489.5	1574.2	2078.4	1727.8	1246.4
PRKAR1A	3719.8	3142.1	4219.7	2860.7	3899.3	1777.9	1431	1580.5	1746.9	1823.2	2453.5	2073.7	1863.2	1508.6	1826.2	1802.1	2248.1	2900.5	2238.4	1696.7
DSP	87	128.5	264.6	125.8	144.7	54	155.2	112.8	129.2	141.1	107	149.7	147.2	121.4	199.4	84	175.4	98.3	81.6	109
RAD21	446.1	261.2	477.1	484.3	448.8	796.2	528.8	401.7	380.6	346.9	563.2	325.7	280.8	375.1	399.7	343	561	149.3	330.5	295.9
WDR1	2867.7	2607.6	1851.7	2930.6	2438.5	3033.8	3927.2	3014.7	3043.9	2509.8	2337	3571.2	5252.5	2584.1	3466.9	5455.8	3328.9	2979.7	3820.4	2662.6
NCL	4019.6	4818.7	5860.6	9739.1	10355.8	4823.5	4460.4	3349.3	3710.6	4445.6	2907.9	3804.3	3672.7	3039.3	2515.1	4392	3201.2	3466.9	3378.1	4276.9
AP2B1	926.7	1157.7	1161.1	728.2	787.7	622.4	738.5	814.7	953.7	500.1	749.9	969.5	727.5	386.3	647	642.8	613.6	624.6	637.7	801.8
AP2M1	2597.3	2380.1	2140.8	1548.6	1647.6	2342	2917.3	3254.6	3644.5	3387.3	2596.5	2519.9	3474.3	3617.3	2788.6	4322	3019.6	2731.7	3440.7	3294.9
CLTC	6500.1	8327.1	6623.3	5572.1	5219	7469	9814.1	7892.1	8380.4	7637.7	7540.1	8296.8	8713.2	6258.7	6571.6	8520.1	6007.6	8847.8	7577.1	8892.5
MLEC	539.7	510.5	548.2	562.8	489.7	806.3	1364.1	1051.2	1142.8	1017.1	577.5	438.9	537.4	568	366.6	918.2	642.5	457.2	340.1	1108.8
LASP1	2613.8	2789.2	1891.2	1295.6	935.8	1528.1	3569.4	3079.8	2786.3	2712	2487.9	2707.5	2742.7	3114.9	2492.9	2974.9	2121	2943.4	2908.4	2970.2
SF3B2	963.6	1337.2	1153.7	1304.4	1137.4	2400.5	2446.1	1906.6	1825.9	1554.3	1374.8	1858.4	2134.3	1274.8	1452.4	2063.7	923.7	1575.3	1374.6	2018.2
TMEM59	3686.7	5754.7	6005.1	4026.9	3318.9	6073.8	5990.9	5585.2	5865.7	5948.7	5414.1	6058.2	6283.1	6576.9	5574.2	6191.5	7390.5	6231.1	5895.3	6099.8
CSRP1	1956.8	2651.2	2487.1	1477	1846.9	2311.4	3519.7	2776.2	2659	2221.8	2853.1	2427.4	2454.9	2482.4	3774.9	2262.9	3209.8	2369.1	2679.4	2648
CAP1	3817	5038.3	2847.4	4752.5	3567.3	5648.5	6454.2	4876.2	5040.9	5305.4	3730.9	3834.1	4615.7	3690.6	3046.1	5135.7	3813.7	3906.7	3730.4	6333
PTGES3	3780.2	4359.2	6195	5443	5472.4	4840.4	3979.8	3693.7	3563.5	3046.3	3431.3	3929.2	3888.5	4200.5	4411.9	3854	4767.8	4508.5	3635.9	3798.8
WARS	796.2	653.6	777.5	2046.3	5217.5	703.9	721.4	907.4	1016.7	1425.2	607.2	704.3	871.3	592.1	555.3	885.4	713.9	626.9	610	907
NDRG1	4072.2	3926.5	4836.1	6751.8	4267.3	2637.9	3215.4	2890.8	2821.6	4354.7	3405.9	4880.2	3487.3	2837.5	4098.8	4780.1	1908.4	3328.6	2986.7	3645.6
UBB	16187.9	19362.2	17542.4	12334.2	12522.9	11508.4	16979.2	15558.5	15151	16415.6	12918.8	13039.8	13873.5	14468.3	13846.9	11655.1	16296.2	13828.6	12238.1	17145.3
PFN1	5149.5	4413.5	3290.3	6368.1	4594.6	3507.2	5901.3	4392	4424.6	4911.5	4346.5	5728.2	4353.1	4765.6	5474.5	5794.6	6702.8	7011.4	5081.2	5412.1
PTPRF	97.5	27.2	580.6	75.1	317.6	430.2	199.9	435.9	455.7	334.2	210.8	213.4	352.3	105.7	360	130.6	76.8	133.4	127.2	437.8
YWHAZ	2692.3	1907.1	2414	3552.8	2689.3	1937.9	1785.8	2134.4	1991.8	2035.1	2301.2	1621.1	3143.9	2654.5	2873.6	3435.7	2374.8	2899.4	3180.2	1856
SOD1	4402	6850	8062.7	4214.4	5760.1	6247.3	6243.8	6024.5	6029.8	6274.5	5977	6652.3	6775.8	7273.5	6958.8	5837.6	10899.4	6667.1	5442.5	6159.4
HDLBP	1578.3	1350	1351.1	1199.2	1490.5	1704.1	2056.8	1779.8	1740.6	1672.1	1556	1534	2327.2	1318	1342.7	2559.4	842.2	1425.2	2116.3	1363.2
MARCKSL1	2325.3	361.2	539	561.2	401.9	822.3	753.2	400.3	302.6	577.1	401.3	495.3	663.8	784.3	664.3	510.2	399	412.6	1252.1	348.5
GABARAP	8404.9	9911.4	8500.4	5797	5120.5	11353.4	11191.2	10587.3	9149.7	9035.8	7999.8	8076.2	9811.6	10025.1	8596.9	8408.6	10421.1	8507.9	7797.6	9995
NUCB1	842.8	1077.8	677.2	598.4	596.9	1249.2	1307.9	2044.2	1560.2	1506.5	1075	1048.9	1692.4	892.1	652.3	1732.1	448.7	1001.9	1149.5	1528
GLUL	1924.7	2013.3	7575	2389.3	9334.4	7001.9	1509.6	1851.5	2097.9	4224.6	2353.1	2122	2580.6	2717.3	1259.3	6810.1	3465.4	1436.2	1403.1	4083.2
LDHA	10190.9	11822.5	9995.6	17949.9	14643.9	15568.3	10590.8	9194.7	9454.3	13725.7	9187.9	11686.4	9484.4	8847.6	9461.7	12318.7	10370.7	9184.1	7889.2	12282.6
SSR2	4093.3	3204.9	3623.6	3014.2	3345.8	4440.5	4483.4	3863.9	3839.2	3472.6	3706.5	3552.9	4140.4	6371.5	3735.8	3722.5	4586.1	4332.8	4305.1	3500.2
P4HB	6128.8	7328	4672.6	5179.6	5938.7	3119.7	9572.7	7739.3	8005	9315.4	9348.6	10079.4	9146.4	8344.9	6600.6	9961.3	7289.3	10183.8	9256.1	8907.6
SLC25A5	5705.7	4704.2	3283.3	7213.4	6492.9	6771.2	4769.3	4835.7	5664.7	6844.2	3385.4	3826.4	4774.2	6316.4	4198.2	6309.4	8143.8	4866.8	3911.6	6507.1
PHB	546.6	800.1	847	798.7	871.5	651.8	539.8	587.2	551.9	615.5	589	520.2	537.1	863.2	931.1	832.8	1158.5	648	520.7	536.9
S100A11	4169.9	6285.4	3598.9	9893.7	5734.7	3143.6	7194.6	5276.3	4945.8	5242.3	6371.5	6971.2	4871.7	5612.6	4658.7	7798.7	8387.6	7896.1	5070.6	7220.3
CTSA	1971.8	2433.3	983.4	1229.6	1257.8	946.2	3555.6	3310.5	3277.2	3046.5	3274	3791	2331.9	2334.6	1807	2798.9	2238.8	3534.2	2968.4	2969.2
TOMM20	1916.9	2027.9	2345.8	3021.6	2445.1	1975.4	1680.7	1601.2	1621.2	1294.5	1676	1743.2	2281	1482.8	1740.5	1929.3	1561.9	2379.8	2172.4	1738.2
